x (m),y (m),time (sec)
-0.4352,-0.2908,31.482000000000003
-0.4202,-0.3058,31.518
-0.4052,-0.3245,31.560000000000002
-0.3939,-0.3358,31.601999999999997
-0.3789,-0.3545,31.637999999999998
-0.3639,-0.3695,31.68
-0.3489,-0.3846,31.721999999999998
-0.3339,-0.4033,31.758
-0.3189,-0.4183,31.8
-0.3039,-0.4333,31.842
-0.2889,-0.4521,31.878
-0.2739,-0.4671,31.92
-0.2589,-0.4821,31.961999999999996
-0.2439,-0.4971,31.998
-0.2289,-0.5159,32.04
-0.2138,-0.5309,32.081999999999994
-0.1988,-0.5459,32.118
-0.1838,-0.5609,32.160000000000004
-0.1688,-0.5759,32.202
-0.1538,-0.5909,32.238
-0.1388,-0.6059,32.28
-0.1238,-0.6209,32.321999999999996
-0.1088,-0.6359,32.358
-0.09379,-0.6547,32.400000000000006
-0.07879,-0.6659,32.442
-0.06378,-0.6847,32.478
-0.04877,-0.6997,32.52
-0.03377,-0.7147,32.562
-0.02251,-0.7335,32.598
-0.007503,-0.7447,32.64
0.0,-0.7597,32.681999999999995
0.01501,-0.7747,32.718
0.02626,-0.7897,32.760000000000005
0.03752,-0.8047,32.802
0.05252,-0.8198,32.838
0.06753,-0.831,32.88
0.08254,-0.8423,32.922
0.09754,-0.8535,32.958
0.1126,-0.8648,33.0
0.1313,-0.8723,33.042
0.1501,-0.8798,33.078
0.1688,-0.8835,33.120000000000005
0.1913,-0.8873,33.162
0.2063,-0.891,33.198
0.2289,-0.8948,33.24
0.2476,-0.8948,33.282
0.2701,-0.8948,33.318
0.2926,-0.891,33.36
0.3114,-0.8873,33.402
0.3302,-0.8798,33.438
0.3452,-0.876,33.480000000000004
0.3602,-0.8685,33.522
0.3789,-0.8573,33.558
0.3977,-0.846,33.6
0.4089,-0.8348,33.641999999999996
0.4239,-0.8198,33.678000000000004
0.439,-0.8047,33.720000000000006
0.454,-0.7935,33.762
0.4652,-0.7822,33.798
0.4802,-0.7672,33.839999999999996
0.4952,-0.7522,33.882
0.5102,-0.7372,33.918
0.5215,-0.7222,33.959999999999994
0.5365,-0.7072,34.001999999999995
0.5478,-0.6959,34.038000000000004
0.559,-0.6809,34.08
0.574,-0.6697,34.122
0.589,-0.6547,34.158
0.6003,-0.6434,34.199999999999996
0.6115,-0.6322,34.242
0.6265,-0.6209,34.278
0.6415,-0.6097,34.32
0.6528,-0.5984,34.362
0.6716,-0.5871,34.398
0.6866,-0.5796,34.44
0.6978,-0.5721,34.482
0.7128,-0.5646,34.518
0.7278,-0.5534,34.559999999999995
0.7428,-0.5459,34.602
0.7578,-0.5309,34.638000000000005
