time (ms),membrane voltage (mV)
113.152,-62.58632
113.156,-62.6576
113.16,-62.6576
113.164,-62.6576
113.168,-62.72866
113.172,-62.72866
113.176,-62.72866
113.18,-62.79994
113.184,-63.01356
113.188,-63.1559
113.192,-63.58314
113.196,-64.01016
113.2,-64.4374
113.204,-64.86464
113.208,-65.29166000000001
113.212,-65.7189
113.216,-66.14614
113.22,-66.71572
113.224,-67.2853
113.228,-67.7836
113.232,-68.42446
113.236,-69.0651
113.24,-69.70596
113.244,-70.13298
113.248,-70.27532
113.252,-70.41788
113.256,-70.41788
113.26,-70.3466
113.264,-70.20426
113.268,-70.3466
113.272,-70.48894
113.276,-70.6315
113.28,-70.91618
113.284,-70.8449
113.288,-70.6315
113.292,-70.13298
113.296,-69.49234
113.3,-68.92276
113.304,-68.35318
113.308,-67.99722
113.312,-67.71232
113.316,-67.42764
113.32,-67.21402
113.324,-66.92934
113.328,-66.64444
113.332,-66.35976
113.336,-66.35976
113.34,-66.2172
113.344,-66.28847999999999
113.348,-66.43082
113.352,-66.57338
113.356,-66.85806
113.36,-67.0004
113.364,-67.21402
113.368,-67.42764
113.372,-67.49892
113.376,-67.64126
113.38,-67.71232
113.384,-67.85488
113.388,-68.06828
113.392,-68.35318
113.396,-68.92276
113.4,-69.34978
113.404,-69.70596
113.408,-69.77702
113.412,-69.77702
113.416,-69.63468
113.42,-69.49234
113.424,-69.49234
113.428,-69.63468
113.432,-69.91936
113.436,-69.91936
113.44,-69.91936
113.444,-69.77702
113.448,-69.63468
113.452,-69.34978
113.456,-69.0651
113.46,-68.78042
113.464,-68.63786
113.468,-68.49552
113.472,-68.35318
113.476,-68.21084
113.48,-67.99722
113.484,-67.71232
113.488,-67.42764
113.492,-67.21402
113.496,-67.07168
113.5,-66.85806
113.504,-66.92934
113.508,-67.0004
113.512,-67.21402
113.516,-67.35636
113.52,-67.56998
113.524,-67.71232
113.528,-67.85488
113.532,-67.85488
113.536,-67.7836
113.54,-67.7836
113.544,-67.71232
113.548,-67.85488
113.552,-68.06828
113.556,-68.35318
113.56,-68.78042
113.564,-68.78042
113.568,-68.85148
113.572,-68.70914
113.576,-68.49552
113.58,-68.42446
113.584,-68.35318
113.588,-68.5668
113.592,-68.78042
113.596,-68.99382
113.6,-69.20744
