1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
80,67,60,67,81,68,79,78,78,51,76,58,83,55,66,41,79,83,64,61,58,40,81,61,60,61,62,59,83,51,52,74,79,76,70,81,57,85,58,63,67,85,66,55,75,79,63,78,73,62,40,73,91,69,66,89,78,71,70,81,79,68,72,66,58,75,66,80,72,72,86,64,66,73,68,53,47,76,75,85,48,69,80,82
65,70,65,78,55,73,73,70,47,45,83,71,87,57,72,60,58,82,58,74,67,42,84,60,69,71,66,58,56,49,66,67,67,69,78,81,79,62,62,63,75,62,61,53,80,52,67,73,74,76,50,69,96,78,75,84,76,80,66,57,77,71,68,75,70,77,60,82,73,79,86,66,68,76,66,65,57,79,84,74,59,76,69,82
59,78,47,67,50,68,64,76,42,58,74,76,87,71,68,66,53,85,53,80,67,45,83,68,71,77,62,61,67,63,69,52,60,68,80,82,81,51,70,63,81,79,67,63,72,58,78,76,72,74,59,70,68,85,75,84,68,79,64,70,62,81,71,74,82,76,80,79,77,61,81,62,78,75,74,67,60,77,77,69,75,71,71,73
73,68,58,63,63,60,66,64,56,70,67,59,88,71,62,76,69,72,62,72,78,48,68,75,69,75,71,66,52,69,56,66,69,84,78,82,65,53,71,48,80,77,57,70,70,71,77,79,73,75,63,74,70,79,83,75,57,49,68,56,83,81,61,73,66,79,70,87,78,61,84,66,86,73,67,59,54,76,76,71,84,64,74,55
82,70,77,75,70,63,73,70,57,57,70,65,81,74,58,80,79,64,71,69,76,66,66,74,72,75,74,68,76,67,48,73,81,70,68,82,75,63,68,64,82,78,59,75,64,76,79,79,73,68,72,81,71,76,84,49,61,47,79,56,72,79,65,70,72,74,73,79,82,66,84,80,72,76,73,58,55,83,80,73,87,76,77,62
85,78,66,80,72,58,72,74,66,55,67,72,78,68,68,92,89,73,78,72,72,69,71,81,69,68,85,67,87,81,44,62,66,67,78,82,64,64,75,76,59,78,64,78,74,72,78,84,57,74,79,81,71,79,74,63,67,51,68,53,78,86,66,58,75,78,81,91,85,70,84,80,73,46,67,71,63,71,83,90,78,67,83,74
84,73,64,82,51,52,76,72,68,61,73,79,69,71,77,90,92,83,81,54,69,74,70,71,83,70,72,74,92,77,42,48,85,74,81,85,71,71,72,80,61,91,60,84,58,67,84,76,54,86,83,74,77,59,61,66,73,62,65,62,78,84,69,63,69,76,75,89,70,61,71,75,80,52,69,83,59,64,66,70,65,81,82,63
77,85,66,83,74,67,75,66,80,30,70,70,50,74,79,80,89,72,71,46,70,52,82,65,85,70,67,73,90,57,70,45,86,77,83,76,78,71,75,67,70,75,53,86,66,64,74,80,59,84,85,79,81,49,45,59,76,67,72,46,76,63,78,78,72,73,82,89,77,71,45,72,83,74,80,70,73,71,62,68,78,85,81,58
78,84,54,90,62,77,78,71,63,45,80,51,60,77,76,62,83,55,71,53,76,54,76,60,74,74,64,74,92,53,64,58,92,77,75,74,55,79,82,80,79,88,65,84,67,85,81,75,65,72,89,75,74,74,51,67,75,76,84,58,54,69,69,85,85,64,85,77,71,78,42,75,76,80,77,68,78,74,70,71,83,87,77,68
80,55,55,82,75,80,77,83,67,61,65,58,64,68,79,56,84,53,72,56,91,55,82,50,61,76,76,74,92,61,56,69,91,80,80,64,62,52,79,79,69,72,69,82,74,82,57,70,70,64,90,72,56,74,58,74,71,82,68,63,64,72,63,85,80,63,65,73,63,81,50,81,72,80,79,75,78,85,73,72,76,84,78,82
